	3	data/treex/000_orig/train//047#59:и
V НЕСОВ ПРИЧ НЕПРОШ МН ИМ	297	data/treex/000_orig/train//001#424:добывающие
V НЕСОВ ПРИЧ НЕПРОШ МН ПР	47	data/treex/000_orig/train//004#292:блестящих
V НЕСОВ ПРИЧ НЕПРОШ МН РОД	431	data/treex/000_orig/train//001#72:действующих
V НЕСОВ ПРИЧ НЕПРОШ МН ТВОР	85	data/treex/000_orig/train//001#88:способствующими
V НЕСОВ ПРИЧ ПРОШ ЕД ЖЕН ВИН	15	data/treex/000_orig/train//011#140:длившуюся
V НЕСОВ ПРИЧ ПРОШ ЕД ЖЕН ДАТ	7	data/treex/000_orig/train//001#15:нуждавшейся
V НЕСОВ ПРИЧ ПРОШ ЕД ЖЕН ИМ	33	data/treex/000_orig/train//002#155:ползавшая
V НЕСОВ ПРИЧ ПРОШ ЕД ЖЕН ПР	6	data/treex/000_orig/train//003#420:сидевшей
V НЕСОВ ПРИЧ ПРОШ ЕД ЖЕН РОД	17	data/treex/000_orig/train//008#231:предусматривавшей
V НЕСОВ ПРИЧ ПРОШ ЕД ЖЕН ТВОР	5	data/treex/000_orig/train//004#37:осыпавшейся
V НЕСОВ ПРИЧ ПРОШ ЕД МУЖ ВИН НЕОД	8	data/treex/000_orig/train//001#107:доносившийся
V НЕСОВ ПРИЧ ПРОШ ЕД МУЖ ВИН ОД	5	data/treex/000_orig/train//014#188:наблюдавшего
V НЕСОВ ПРИЧ ПРОШ ЕД МУЖ ДАТ	7	data/treex/000_orig/train//006#44:делившемуся
V НЕСОВ ПРИЧ ПРОШ ЕД МУЖ ИМ	89	data/treex/000_orig/train//001#389:переносивший
V НЕСОВ ПРИЧ ПРОШ ЕД МУЖ ПР	9	data/treex/000_orig/train//008#448:раздававшем
V НЕСОВ ПРИЧ ПРОШ ЕД МУЖ РОД	38	data/treex/000_orig/train//002#450:ожидавшего
V НЕСОВ ПРИЧ ПРОШ ЕД МУЖ ТВОР	7	data/treex/000_orig/train//003#384:тлевшим
V НЕСОВ ПРИЧ ПРОШ ЕД СРЕД ВИН	4	data/treex/000_orig/train//003#492:блестевшее
V НЕСОВ ПРИЧ ПРОШ ЕД СРЕД ИМ	9	data/treex/000_orig/train//006#153:соответствовавшее
V НЕСОВ ПРИЧ ПРОШ ЕД СРЕД ПР	2	data/treex/000_orig/train//046#345:воцарявшемся
V НЕСОВ ПРИЧ ПРОШ ЕД СРЕД РОД	7	data/treex/000_orig/train//012#85:продолжавшего
V НЕСОВ ПРИЧ ПРОШ ЕД СРЕД ТВОР	1	data/treex/000_orig/train//006#488:миновавшим
V НЕСОВ ПРИЧ ПРОШ МН ВИН НЕОД	12	data/treex/000_orig/train//003#465:мерцавшие
V НЕСОВ ПРИЧ ПРОШ МН ВИН ОД	8	data/treex/000_orig/train//004#258:лежавших
V НЕСОВ ПРИЧ ПРОШ МН ДАТ	16	data/treex/000_orig/train//005#15:выражавшим
V НЕСОВ ПРИЧ ПРОШ МН ИМ	51	data/treex/000_orig/train//003#300:отличавшиеся
V НЕСОВ ПРИЧ ПРОШ МН ПР	5	data/treex/000_orig/train//008#108:происходивших
V НЕСОВ ПРИЧ ПРОШ МН РОД	56	data/treex/000_orig/train//001#468:населявших
V НЕСОВ ПРИЧ ПРОШ МН ТВОР	13	data/treex/000_orig/train//004#74:висевшими
V НЕСОВ СТРАД ДЕЕПР НЕПРОШ	13	data/treex/000_orig/train//006#5:сливаясь
V НЕСОВ СТРАД ИЗЪЯВ НЕПРОШ ЕД 3-Л	826	data/treex/000_orig/train//001#58:детерминируется
V НЕСОВ СТРАД ИЗЪЯВ НЕПРОШ МН 3-Л	400	data/treex/000_orig/train//001#56:осуществляются
V НЕСОВ СТРАД ИЗЪЯВ ПРОШ ЕД ЖЕН	96	data/treex/000_orig/train//001#424:строилась
V НЕСОВ СТРАД ИЗЪЯВ ПРОШ ЕД МУЖ	138	data/treex/000_orig/train//002#239:достигался
V НЕСОВ СТРАД ИЗЪЯВ ПРОШ ЕД СРЕД	156	data/treex/000_orig/train//001#132:предлагалось
V НЕСОВ СТРАД ИЗЪЯВ ПРОШ МН	191	data/treex/000_orig/train//002#141:освещались
V НЕСОВ СТРАД ИНФ	158	data/treex/000_orig/train//001#60:кодифицироваться
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД ЖЕН ВИН	18	data/treex/000_orig/train//011#242:охраняемую
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД ЖЕН ДАТ	3	data/treex/000_orig/train//025#289:называемой
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД ЖЕН ИМ	52	data/treex/000_orig/train//005#203:осуществляемая
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД ЖЕН ПР	11	data/treex/000_orig/train//006#243:называемой
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД ЖЕН РОД	43	data/treex/000_orig/train//005#410:называемой
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД ЖЕН ТВОР	11	data/treex/000_orig/train//002#32:ввозимой
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД МУЖ ВИН НЕОД	19	data/treex/000_orig/train//008#238:управляемый
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД МУЖ ВИН ОД	1	data/treex/000_orig/train//065#176:обвиняемого
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД МУЖ ДАТ	7	data/treex/000_orig/train//028#211:называемому
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД МУЖ ИМ	64	data/treex/000_orig/train//005#351:образуемый
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД МУЖ ПР	9	data/treex/000_orig/train//013#378:называемом
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД МУЖ РОД	46	data/treex/000_orig/train//003#122:трансформируемого
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД МУЖ ТВОР	19	data/treex/000_orig/train//001#88:приводимым
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД СРЕД ВИН	10	data/treex/000_orig/train//005#212:переживаемое
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД СРЕД ДАТ	2	data/treex/000_orig/train//015#426:занимаемому
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД СРЕД ИМ	21	data/treex/000_orig/train//005#338:Адаптируемое
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД СРЕД ПР	3	data/treex/000_orig/train//004#439:декларируемом
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД СРЕД РОД	21	data/treex/000_orig/train//011#284:управляемого
V НЕСОВ СТРАД ПРИЧ НЕПРОШ ЕД СРЕД ТВОР	6	data/treex/000_orig/train//035#396:применяемым
V НЕСОВ СТРАД ПРИЧ НЕПРОШ КР ЕД ЖЕН	1	data/treex/000_orig/train//011#465:любима
V НЕСОВ СТРАД ПРИЧ НЕПРОШ КР ЕД МУЖ	10	data/treex/000_orig/train//006#167:подозреваем
V НЕСОВ СТРАД ПРИЧ НЕПРОШ КР МН	1	data/treex/000_orig/train//018#233:контролируемы
V НЕСОВ СТРАД ПРИЧ НЕПРОШ МН ВИН НЕОД	43	data/treex/000_orig/train//003#317:тиражируемые
V НЕСОВ СТРАД ПРИЧ НЕПРОШ МН ВИН ОД	1	data/treex/000_orig/train//036#347:называемых
V НЕСОВ СТРАД ПРИЧ НЕПРОШ МН ДАТ	15	data/treex/000_orig/train//008#240:предъявляемым
V НЕСОВ СТРАД ПРИЧ НЕПРОШ МН ИМ	57	data/treex/000_orig/train//004#190:заметаемые
V НЕСОВ СТРАД ПРИЧ НЕПРОШ МН ПР	19	data/treex/000_orig/train//011#245:называемых
V НЕСОВ СТРАД ПРИЧ НЕПРОШ МН РОД	113	data/treex/000_orig/train//005#24:путающихся
V НЕСОВ СТРАД ПРИЧ НЕПРОШ МН ТВОР	17	data/treex/000_orig/train//006#159:переплетающимися
V НЕСОВ СТРАД ПРИЧ ПРОШ ЕД ЖЕН ВИН	4	data/treex/000_orig/train//005#47:мятую
V НЕСОВ СТРАД ПРИЧ ПРОШ ЕД ЖЕН ИМ	6	data/treex/000_orig/train//006#425:полированная
V НЕСОВ СТРАД ПРИЧ ПРОШ ЕД ЖЕН ПР	3	data/treex/000_orig/train//006#281:мытой
V НЕСОВ СТРАД ПРИЧ ПРОШ ЕД ЖЕН РОД	4	data/treex/000_orig/train//008#203:разрабатывавшейся
V НЕСОВ СТРАД ПРИЧ ПРОШ ЕД МУЖ ВИН ОД	1	data/treex/000_orig/train//012#361:выгуливавшегося
V НЕСОВ СТРАД ПРИЧ ПРОШ ЕД МУЖ ДАТ	1	data/treex/000_orig/train//024#147:планировавшемуся
V НЕСОВ СТРАД ПРИЧ ПРОШ ЕД МУЖ ИМ	6	data/treex/000_orig/train//006#414:ученный
V НЕСОВ СТРАД ПРИЧ ПРОШ ЕД МУЖ ПР	1	data/treex/000_orig/train//018#273:мятом
V НЕСОВ СТРАД ПРИЧ ПРОШ ЕД МУЖ РОД	5	data/treex/000_orig/train//023#207:проводившегося
V НЕСОВ СТРАД ПРИЧ ПРОШ ЕД МУЖ ТВОР	1	data/treex/000_orig/train//006#279:гравированным
V НЕСОВ СТРАД ПРИЧ ПРОШ ЕД СРЕД ВИН	1	data/treex/000_orig/train//012#326:базировавшееся
V НЕСОВ СТРАД ПРИЧ ПРОШ ЕД СРЕД ИМ	2	data/treex/000_orig/train//012#308:виданное
V НЕСОВ СТРАД ПРИЧ ПРОШ ЕД СРЕД ТВОР	1	data/treex/000_orig/train//001#81:охранявшимся
V НЕСОВ СТРАД ПРИЧ ПРОШ КР ЕД ЖЕН	2	data/treex/000_orig/train//001#24:крещена
V НЕСОВ СТРАД ПРИЧ ПРОШ КР ЕД МУЖ	13	data/treex/000_orig/train//009#445:порочен
V НЕСОВ СТРАД ПРИЧ ПРОШ КР ЕД СРЕД	2	data/treex/000_orig/train//002#93:говорено
V НЕСОВ СТРАД ПРИЧ ПРОШ КР МН	11	data/treex/000_orig/train//004#375:ранены
V НЕСОВ СТРАД ПРИЧ ПРОШ МН ВИН НЕОД	2	data/treex/000_orig/train//029#90:рассыпавшиеся
V НЕСОВ СТРАД ПРИЧ ПРОШ МН ИМ	7	data/treex/000_orig/train//005#382:использовавшиеся
V НЕСОВ СТРАД ПРИЧ ПРОШ МН ПР	3	data/treex/000_orig/train//015#297:конопаченных
V НЕСОВ СТРАД ПРИЧ ПРОШ МН РОД	10	data/treex/000_orig/train//023#160:обсуждавшихся
V НЕСОВ СТРАД ПРИЧ ПРОШ МН ТВОР	1	data/treex/000_orig/train//036#490:колотыми
V СОВ ДЕЕПР НЕПРОШ	2	data/treex/000_orig/train//002#261:прицелясь
V СОВ ДЕЕПР ПРОШ	699	data/treex/000_orig/train//001#77:открыв
V СОВ ДЕЕПР ПРОШ НЕПРАВ	1	data/treex/000_orig/train//004#367:Притопав
V СОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л	148	data/treex/000_orig/train//001#238:смогу
V СОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л НЕСТАНД	1	data/treex/000_orig/train//004#30:абэспэчу
V СОВ ИЗЪЯВ НЕПРОШ ЕД 2-Л	116	data/treex/000_orig/train//001#9:поверишь
V СОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л	1794	data/treex/000_orig/train//001#3:проживет
V СОВ ИЗЪЯВ НЕПРОШ МН 1-Л	427	data/treex/000_orig/train//002#110:обсудим
V СОВ ИЗЪЯВ НЕПРОШ МН 1-Л МЕТА	1	data/treex/000_orig/train//037#261:допустим
V СОВ ИЗЪЯВ НЕПРОШ МН 2-Л	65	data/treex/000_orig/train//002#344:почувствуете
V СОВ ИЗЪЯВ НЕПРОШ МН 3-Л	724	data/treex/000_orig/train//001#198:скажут
V СОВ ИЗЪЯВ ПРОШ ЕД ЖЕН	2239	data/treex/000_orig/train//001#7:унаследовала
V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ	5546	data/treex/000_orig/train//001#9:уехал
V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ НЕПРАВ	1	data/treex/000_orig/train//037#167:присуседился
V СОВ ИЗЪЯВ ПРОШ ЕД СРЕД	1701	data/treex/000_orig/train//001#18:позволило
V СОВ ИЗЪЯВ ПРОШ МН	3663	data/treex/000_orig/train//001#12:создали
V СОВ ИЗЪЯВ ПРОШ МН МЕТА	2	data/treex/000_orig/train//023#390:обсудили
V СОВ ИНФ	6448	data/treex/000_orig/train//001#18:войти
V СОВ ПОВ ЕД 2-Л	92	data/treex/000_orig/train//002#117:возьми
V СОВ ПОВ ЕД 2-Л МЕТА	1	data/treex/000_orig/train//016#263:побери
V СОВ ПОВ ЕД 2-Л НЕПРАВ	1	data/treex/000_orig/train//037#321:Положь
V СОВ ПОВ ЕД 2-Л НЕСТАНД	1	data/treex/000_orig/train//003#80:По-слу-шай
V СОВ ПОВ МН 1-Л	2	data/treex/000_orig/train//001#390:Пойдемте
V СОВ ПОВ МН 2-Л	158	data/treex/000_orig/train//001#223:Напишите
V СОВ ПРИЧ ПРОШ ЕД ЖЕН ВИН	44	data/treex/000_orig/train//002#168:попавшую
V СОВ ПРИЧ ПРОШ ЕД ЖЕН ДАТ	6	data/treex/000_orig/train//001#482:оказавшейся
V СОВ ПРИЧ ПРОШ ЕД ЖЕН ИМ	86	data/treex/000_orig/train//001#50:унаследовавшая
V СОВ ПРИЧ ПРОШ ЕД ЖЕН ПР	21	data/treex/000_orig/train//003#356:замерзшей
V СОВ ПРИЧ ПРОШ ЕД ЖЕН РОД	42	data/treex/000_orig/train//006#17:обнаружившей
V СОВ ПРИЧ ПРОШ ЕД ЖЕН ТВОР	19	data/treex/000_orig/train//003#247:возникшей
V СОВ ПРИЧ ПРОШ ЕД МУЖ ВИН НЕОД	22	data/treex/000_orig/train//003#389:вымокший
V СОВ ПРИЧ ПРОШ ЕД МУЖ ВИН ОД	16	data/treex/000_orig/train//003#142:наступившего
V СОВ ПРИЧ ПРОШ ЕД МУЖ ДАТ	21	data/treex/000_orig/train//001#63:получившему
V СОВ ПРИЧ ПРОШ ЕД МУЖ ИМ	156	data/treex/000_orig/train//001#89:исследовавший
V СОВ ПРИЧ ПРОШ ЕД МУЖ ПР	16	data/treex/000_orig/train//003#221:погибшем
V СОВ ПРИЧ ПРОШ ЕД МУЖ РОД	80	data/treex/000_orig/train//002#120:лопнувшего
V СОВ ПРИЧ ПРОШ ЕД МУЖ ТВОР	21	data/treex/000_orig/train//004#196:обострившимся
V СОВ ПРИЧ ПРОШ ЕД СРЕД ВИН	24	data/treex/000_orig/train//006#69:ушедшее
V СОВ ПРИЧ ПРОШ ЕД СРЕД ДАТ	4	data/treex/000_orig/train//016#11:постаревшему
V СОВ ПРИЧ ПРОШ ЕД СРЕД ИМ	27	data/treex/000_orig/train//005#363:возникшее
V СОВ ПРИЧ ПРОШ ЕД СРЕД ПР	9	data/treex/000_orig/train//003#364:осветившемся
V СОВ ПРИЧ ПРОШ ЕД СРЕД РОД	17	data/treex/000_orig/train//004#322:замерзшего
V СОВ ПРИЧ ПРОШ ЕД СРЕД ТВОР	8	data/treex/000_orig/train//003#41:происшедшим
V СОВ ПРИЧ ПРОШ МН ВИН НЕОД	38	data/treex/000_orig/train//003#402:растрескавшиеся
V СОВ ПРИЧ ПРОШ МН ВИН ОД	15	data/treex/000_orig/train//004#226:сбившихся
V СОВ ПРИЧ ПРОШ МН ДАТ	21	data/treex/000_orig/train//006#261:заслужившим
V СОВ ПРИЧ ПРОШ МН ИМ	126	data/treex/000_orig/train//001#40:ПРОБУДИВШИЕСЯ
V СОВ ПРИЧ ПРОШ МН ПР	27	data/treex/000_orig/train//004#341:исказившихся
V СОВ ПРИЧ ПРОШ МН РОД	155	data/treex/000_orig/train//002#244:позеленевших
V СОВ ПРИЧ ПРОШ МН ТВОР	27	data/treex/000_orig/train//002#377:добившимися
V СОВ СТРАД ПРИЧ ПРОШ ЕД ЖЕН ВИН	112	data/treex/000_orig/train//001#123:приготовленную
V СОВ СТРАД ПРИЧ ПРОШ ЕД ЖЕН ДАТ	24	data/treex/000_orig/train//005#349:описанной
V СОВ СТРАД ПРИЧ ПРОШ ЕД ЖЕН ИМ	221	data/treex/000_orig/train//001#139:посланная
V СОВ СТРАД ПРИЧ ПРОШ ЕД ЖЕН ПР	49	data/treex/000_orig/train//003#140:определенной
V СОВ СТРАД ПРИЧ ПРОШ ЕД ЖЕН РОД	146	data/treex/000_orig/train//001#500:фиксированной
V СОВ СТРАД ПРИЧ ПРОШ ЕД ЖЕН ТВОР	67	data/treex/000_orig/train//001#97:возвращенной
V СОВ СТРАД ПРИЧ ПРОШ ЕД МУЖ ВИН НЕОД	124	data/treex/000_orig/train//001#80:нанесенный
V СОВ СТРАД ПРИЧ ПРОШ ЕД МУЖ ВИН ОД	7	data/treex/000_orig/train//006#357:изъезженного
V СОВ СТРАД ПРИЧ ПРОШ ЕД МУЖ ДАТ	35	data/treex/000_orig/train//001#63:поставленному
V СОВ СТРАД ПРИЧ ПРОШ ЕД МУЖ ИМ	275	data/treex/000_orig/train//001#110:накрытый
V СОВ СТРАД ПРИЧ ПРОШ ЕД МУЖ ПР	70	data/treex/000_orig/train//002#125:освещенном
V СОВ СТРАД ПРИЧ ПРОШ ЕД МУЖ РОД	164	data/treex/000_orig/train//001#80:обращенного
V СОВ СТРАД ПРИЧ ПРОШ ЕД МУЖ ТВОР	81	data/treex/000_orig/train//001#81:осознанным
V СОВ СТРАД ПРИЧ ПРОШ ЕД СРЕД ВИН	63	data/treex/000_orig/train//002#42:ускоренное
V СОВ СТРАД ПРИЧ ПРОШ ЕД СРЕД ДАТ	12	data/treex/000_orig/train//006#415:сказанному
V СОВ СТРАД ПРИЧ ПРОШ ЕД СРЕД ИМ	117	data/treex/000_orig/train//002#179:указанное
V СОВ СТРАД ПРИЧ ПРОШ ЕД СРЕД ПР	45	data/treex/000_orig/train//003#147:вынужденном
V СОВ СТРАД ПРИЧ ПРОШ ЕД СРЕД РОД	73	data/treex/000_orig/train//002#85:позолоченного
V СОВ СТРАД ПРИЧ ПРОШ ЕД СРЕД ТВОР	39	data/treex/000_orig/train//002#88:напудренным
V СОВ СТРАД ПРИЧ ПРОШ КР ЕД ЖЕН	605	data/treex/000_orig/train//001#39:сделана
V СОВ СТРАД ПРИЧ ПРОШ КР ЕД МУЖ	849	data/treex/000_orig/train//001#43:описан
V СОВ СТРАД ПРИЧ ПРОШ КР ЕД МУЖ МЕТА	1	data/treex/000_orig/train//023#390:составлен
V СОВ СТРАД ПРИЧ ПРОШ КР ЕД СРЕД	736	data/treex/000_orig/train//001#66:связано
V СОВ СТРАД ПРИЧ ПРОШ КР МН	960	data/treex/000_orig/train//001#87:вынуждены
V СОВ СТРАД ПРИЧ ПРОШ КР МН МЕТА	1	data/treex/000_orig/train//023#390:приняты
V СОВ СТРАД ПРИЧ ПРОШ МН ВИН НЕОД	161	data/treex/000_orig/train//001#117:обитые
V СОВ СТРАД ПРИЧ ПРОШ МН ВИН ОД	16	data/treex/000_orig/train//008#3:подготовленных
V СОВ СТРАД ПРИЧ ПРОШ МН ДАТ	62	data/treex/000_orig/train//003#180:затронутым
V СОВ СТРАД ПРИЧ ПРОШ МН ИМ	368	data/treex/000_orig/train//001#96:сказанные
V СОВ СТРАД ПРИЧ ПРОШ МН ПР	93	data/treex/000_orig/train//001#61:посвященных
V СОВ СТРАД ПРИЧ ПРОШ МН РОД	453	data/treex/000_orig/train//001#94:брошенных
V СОВ СТРАД ПРИЧ ПРОШ МН ТВОР	143	data/treex/000_orig/train//001#58:принятыми
TOTAL 510 TAG TYPES FOR 497465 TOKENS
