Abbreviation	Abbreviation	_	Abbreviation	20	data/treex/000_orig/train/001#241:V-B
Noun	Noun-common	Gender=neuter|Number=singular|Case=instrumental	Noun-common	44	data/treex/000_orig/train/001#91:peresom
Noun	Noun-common	Gender=neuter|Number=singular|Case=locative	Noun-common	105	data/treex/000_orig/train/001#3:zelju
Noun	Noun-common	Gender=neuter|Number=singular|Case=nominative	Noun-common	196	data/treex/000_orig/train/001#10:Stanovanje
Noun	Noun-proper	Gender=feminine|Number=singular|Case=accusative	Noun-proper	7	data/treex/000_orig/train/002#166:Afriko
Noun	Noun-proper	Gender=feminine|Number=singular|Case=genitive	Noun-proper	9	data/treex/000_orig/train/002#77:Eastazije
Noun	Noun-proper	Gender=feminine|Number=singular|Case=instrumental	Noun-proper	8	data/treex/000_orig/train/001#189:Evrazijo
Noun	Noun-proper	Gender=feminine|Number=singular|Case=locative	Noun-proper	7	data/treex/000_orig/train/001#40:Oceaniji
Noun	Noun-proper	Gender=feminine|Number=singular|Case=nominative	Noun-proper	17	data/treex/000_orig/train/001#130:židinja
Noun	Noun-proper	Gender=masculine|Number=plural|Case=genitive	Noun-proper	2	data/treex/000_orig/test/001#94:Judov
Noun	Noun-proper	Gender=masculine|Number=singular|Case=accusative|Animate=no	Noun-proper	4	data/treex/000_orig/train/001#439:London
Noun	Noun-proper	Gender=masculine|Number=singular|Case=accusative|Animate=yes	Noun-proper	19	data/treex/000_orig/train/001#162:O'Briena
Noun	Noun-proper	Gender=masculine|Number=singular|Case=dative	Noun-proper	16	data/treex/000_orig/train/001#146:Winstonu
Noun	Noun-proper	Gender=masculine|Number=singular|Case=genitive	Noun-proper	16	data/treex/000_orig/train/001#176:Goldsteina
Noun	Noun-proper	Gender=masculine|Number=singular|Case=instrumental	Noun-proper	3	data/treex/000_orig/train/001#211:Winstonom
Noun	Noun-proper	Gender=masculine|Number=singular|Case=locative	Noun-proper	11	data/treex/000_orig/train/001#49:Londonu
Noun	Noun-proper	Gender=masculine|Number=singular|Case=nominative	Noun-proper	268	data/treex/000_orig/train/001#2:Smith
Noun	Noun-proper	Gender=neuter|Number=singular|Case=genitive	Noun-proper	1	data/treex/000_orig/test/001#324:Danskega
Noun	Noun-proper	Gender=neuter|Number=singular|Case=locative	Noun-proper	2	data/treex/000_orig/train/001#127:Sredozemlju
Numeral	Numeral-cardinal	Form=digit	Numeral-cardinal	23	data/treex/000_orig/train/001#98:1984
Numeral	Numeral-cardinal	Gender=feminine|Number=dual|Case=accusative|Form=letter	Numeral-cardinal	5	data/treex/000_orig/train/002#260:dve
Numeral	Numeral-cardinal	Gender=feminine|Number=dual|Case=genitive|Form=letter	Numeral-cardinal	1	data/treex/000_orig/train/001#195:dveh
Numeral	Numeral-cardinal	Gender=feminine|Number=dual|Case=instrumental|Form=letter	Numeral-cardinal	1	data/treex/000_orig/train/003#287:dvema
Numeral	Numeral-cardinal	Gender=feminine|Number=dual|Case=nominative|Form=letter	Numeral-cardinal	4	data/treex/000_orig/train/003#219:Dve
Numeral	Numeral-cardinal	Gender=feminine|Number=plural|Case=accusative|Form=letter	Numeral-cardinal	66	data/treex/000_orig/train/001#47:tri
Numeral	Numeral-cardinal	Gender=feminine|Number=plural|Case=genitive|Form=letter	Numeral-cardinal	2	data/treex/000_orig/train/003#212:dvestotih
Numeral	Numeral-cardinal	Gender=feminine|Number=plural|Case=instrumental|Form=letter	Numeral-cardinal	1	data/treex/000_orig/test/001#351:tremi
Numeral	Numeral-cardinal	Gender=feminine|Number=plural|Case=locative|Form=letter	Numeral-cardinal	5	data/treex/000_orig/train/001#215:tridesetih
Numeral	Numeral-cardinal	Gender=feminine|Number=plural|Case=nominative|Form=letter	Numeral-cardinal	47	data/treex/000_orig/train/001#235:tri
Numeral	Numeral-cardinal	Gender=feminine|Number=singular|Case=accusative|Form=letter	Numeral-cardinal	5	data/treex/000_orig/train/001#25:eno
Numeral	Numeral-cardinal	Gender=feminine|Number=singular|Case=dative|Form=letter	Numeral-cardinal	1	data/treex/000_orig/train/003#219:eni
Numeral	Numeral-cardinal	Gender=feminine|Number=singular|Case=genitive|Form=letter	Numeral-cardinal	7	data/treex/000_orig/train/002#4:ene
Numeral	Numeral-cardinal	Gender=feminine|Number=singular|Case=instrumental|Form=letter	Numeral-cardinal	2	data/treex/000_orig/train/001#195:eno
Numeral	Numeral-cardinal	Gender=feminine|Number=singular|Case=locative|Form=letter	Numeral-cardinal	7	data/treex/000_orig/train/001#4:eni
Numeral	Numeral-cardinal	Gender=feminine|Number=singular|Case=nominative|Form=letter	Numeral-cardinal	9	data/treex/000_orig/train/001#12:ena
Numeral	Numeral-cardinal	Gender=masculine|Number=dual|Case=accusative|Form=letter	Numeral-cardinal	10	data/treex/000_orig/train/001#84:dva
Numeral	Numeral-cardinal	Gender=masculine|Number=dual|Case=instrumental|Form=letter	Numeral-cardinal	1	data/treex/000_orig/train/003#50:dvema
Numeral	Numeral-cardinal	Gender=masculine|Number=dual|Case=nominative|Form=letter	Numeral-cardinal	18	data/treex/000_orig/train/001#140:dva
Numeral	Numeral-cardinal	Gender=masculine|Number=plural|Case=accusative|Form=letter	Numeral-cardinal	13	data/treex/000_orig/train/001#48:tri
Numeral	Numeral-cardinal	Gender=masculine|Number=plural|Case=instrumental|Form=letter	Numeral-cardinal	3	data/treex/000_orig/train/002#5:tridesetimi
Numeral	Numeral-cardinal	Gender=masculine|Number=plural|Case=locative|Form=letter	Numeral-cardinal	4	data/treex/000_orig/train/003#53:treh
Numeral	Numeral-cardinal	Gender=masculine|Number=plural|Case=nominative|Form=letter	Numeral-cardinal	12	data/treex/000_orig/train/003#69:trije
Numeral	Numeral-cardinal	Gender=masculine|Number=singular|Case=accusative|Form=letter|Animate=no	Numeral-cardinal	1	data/treex/000_orig/train/002#336:en
Numeral	Numeral-cardinal	Gender=masculine|Number=singular|Case=accusative|Form=letter|Animate=yes	Numeral-cardinal	1	data/treex/000_orig/train/003#378:enega
Numeral	Numeral-cardinal	Gender=masculine|Number=singular|Case=genitive|Form=letter	Numeral-cardinal	4	data/treex/000_orig/train/001#217:enega
Numeral	Numeral-cardinal	Gender=masculine|Number=singular|Case=instrumental|Form=letter	Numeral-cardinal	2	data/treex/000_orig/train/003#279:enim
Numeral	Numeral-cardinal	Gender=masculine|Number=singular|Case=locative|Form=letter	Numeral-cardinal	3	data/treex/000_orig/train/001#25:enem
Numeral	Numeral-cardinal	Gender=masculine|Number=singular|Case=nominative|Form=letter	Numeral-cardinal	14	data/treex/000_orig/train/001#127:En
Numeral	Numeral-cardinal	Gender=neuter|Number=dual|Case=accusative|Form=letter	Numeral-cardinal	4	data/treex/000_orig/train/001#327:dve
Numeral	Numeral-cardinal	Gender=neuter|Number=dual|Case=genitive|Form=letter	Numeral-cardinal	1	data/treex/000_orig/train/001#103:dveh
Numeral	Numeral-cardinal	Gender=neuter|Number=dual|Case=locative|Form=letter	Numeral-cardinal	3	data/treex/000_orig/train/003#20:dveh
Numeral	Numeral-cardinal	Gender=neuter|Number=plural|Case=accusative|Form=letter	Numeral-cardinal	13	data/treex/000_orig/train/001#10:devetintrideset
Numeral	Numeral-cardinal	Gender=neuter|Number=plural|Case=genitive|Form=letter	Numeral-cardinal	6	data/treex/000_orig/train/001#51:štirih
Numeral	Numeral-cardinal	Gender=neuter|Number=plural|Case=instrumental|Form=letter	Numeral-cardinal	8	data/treex/000_orig/train/001#89:petindvajsetimi
Numeral	Numeral-cardinal	Gender=neuter|Number=plural|Case=locative|Form=letter	Numeral-cardinal	9	data/treex/000_orig/train/001#5:petinštiridesetih
Numeral	Numeral-cardinal	Gender=neuter|Number=plural|Case=nominative|Form=letter	Numeral-cardinal	4	data/treex/000_orig/train/001#1:trinajst
Numeral	Numeral-cardinal	Gender=neuter|Number=singular|Case=accusative|Form=letter	Numeral-cardinal	1	data/treex/000_orig/train/001#348:eno
Numeral	Numeral-cardinal	Gender=neuter|Number=singular|Case=genitive|Form=letter	Numeral-cardinal	1	data/treex/000_orig/train/001#103:enega
Numeral	Numeral-cardinal	Gender=neuter|Number=singular|Case=instrumental|Form=letter	Numeral-cardinal	1	data/treex/000_orig/train/002#175:enim
Numeral	Numeral-cardinal	Gender=neuter|Number=singular|Case=locative|Form=letter	Numeral-cardinal	1	data/treex/000_orig/train/003#311:enem
Numeral	Numeral-cardinal	Gender=neuter|Number=singular|Case=nominative|Form=letter	Numeral-cardinal	2	data/treex/000_orig/train/003#106:eno
Numeral	Numeral-multiple	Gender=feminine|Number=singular|Case=instrumental|Form=letter	Numeral-multiple	1	data/treex/000_orig/train/002#208:dvojno
Numeral	Numeral-ordinal	Form=digit	Numeral-ordinal	5	data/treex/000_orig/train/001#98:4.
Numeral	Numeral-ordinal	Gender=feminine|Number=plural|Case=accusative|Form=letter	Numeral-ordinal	4	data/treex/000_orig/train/002#158:tisoče
Numeral	Numeral-ordinal	Gender=feminine|Number=plural|Case=genitive|Form=letter	Numeral-ordinal	1	data/treex/000_orig/train/001#493:prvih
Numeral	Numeral-ordinal	Gender=feminine|Number=singular|Case=accusative|Form=letter	Numeral-ordinal	1	data/treex/000_orig/train/001#30:Deveto
Numeral	Numeral-ordinal	Gender=feminine|Number=singular|Case=genitive|Form=letter	Numeral-ordinal	6	data/treex/000_orig/train/001#40:tretje
Numeral	Numeral-ordinal	Gender=feminine|Number=singular|Case=locative|Form=letter	Numeral-ordinal	5	data/treex/000_orig/train/001#206:drugi
Numeral	Numeral-ordinal	Gender=feminine|Number=singular|Case=nominative|Form=letter	Numeral-ordinal	2	data/treex/000_orig/train/002#302:Enajsta
Numeral	Numeral-ordinal	Gender=masculine|Number=singular|Case=accusative|Form=letter|Animate=no	Numeral-ordinal	2	data/treex/000_orig/train/001#146:prvi
Numeral	Numeral-ordinal	Gender=masculine|Number=singular|Case=genitive|Form=letter	Numeral-ordinal	2	data/treex/000_orig/train/001#42:devetnajstega
Numeral	Numeral-ordinal	Gender=masculine|Number=singular|Case=instrumental|Form=letter	Numeral-ordinal	1	data/treex/000_orig/train/004#14:prvim
Numeral	Numeral-ordinal	Gender=masculine|Number=singular|Case=locative|Form=letter	Numeral-ordinal	3	data/treex/000_orig/train/001#333:prvem
Numeral	Numeral-ordinal	Gender=masculine|Number=singular|Case=nominative|Form=letter	Numeral-ordinal	5	data/treex/000_orig/train/001#156:Drugi
Numeral	Numeral-ordinal	Gender=neuter|Number=plural|Case=accusative|Form=letter	Numeral-ordinal	1	data/treex/000_orig/train/002#309:Enajsta
Numeral	Numeral-ordinal	Gender=neuter|Number=plural|Case=genitive|Form=letter	Numeral-ordinal	2	data/treex/000_orig/train/003#296:šestdesetih
Numeral	Numeral-ordinal	Gender=neuter|Number=plural|Case=locative|Form=letter	Numeral-ordinal	2	data/treex/000_orig/train/002#110:šestdesetih
Numeral	Numeral-ordinal	Gender=neuter|Number=singular|Case=accusative|Form=letter	Numeral-ordinal	2	data/treex/000_orig/train/002#161:četrto
Numeral	Numeral-ordinal	Gender=neuter|Number=singular|Case=genitive|Form=letter	Numeral-ordinal	2	data/treex/000_orig/train/002#119:prvega
Numeral	Numeral-ordinal	Gender=neuter|Number=singular|Case=instrumental|Form=letter	Numeral-ordinal	1	data/treex/000_orig/train/002#146:petinštiridesetim
Numeral	Numeral-ordinal	Gender=neuter|Number=singular|Case=locative|Form=letter	Numeral-ordinal	1	data/treex/000_orig/train/001#10:sedmem
Numeral	Numeral-ordinal	Gender=neuter|Number=singular|Case=nominative|Form=letter	Numeral-ordinal	1	data/treex/000_orig/train/002#168:šesto
Numeral	Numeral-special	Gender=feminine|Number=plural|Case=accusative|Form=letter	Numeral-special	1	data/treex/000_orig/train/002#99:dvoje
Numeral	Numeral-special	Gender=masculine|Number=singular|Case=locative|Form=letter	Numeral-special	1	data/treex/000_orig/train/001#304:enkratnem
PUNC	PUNC	_	PUNC	6357	data/treex/000_orig/train/001#1:,
Particle	Particle	_	Particle	997	data/treex/000_orig/train/001#2:ne
Pronoun	Pronoun-demonstrative	Gender=feminine|Number=plural|Case=accusative|Syntactic-Type=adjectival	Pronoun-demonstrative	2	data/treex/000_orig/train/001#344:take
Pronoun	Pronoun-demonstrative	Gender=feminine|Number=plural|Case=dative|Syntactic-Type=adjectival	Pronoun-demonstrative	1	data/treex/000_orig/train/002#71:tem
Pronoun	Pronoun-demonstrative	Gender=feminine|Number=plural|Case=genitive|Syntactic-Type=adjectival	Pronoun-demonstrative	7	data/treex/000_orig/train/001#12:tistih
Pronoun	Pronoun-demonstrative	Gender=feminine|Number=plural|Case=genitive|Syntactic-Type=nominal	Pronoun-demonstrative	1	data/treex/000_orig/test/001#228:teh
Pronoun	Pronoun-demonstrative	Gender=feminine|Number=plural|Case=instrumental|Syntactic-Type=adjectival	Pronoun-demonstrative	1	data/treex/000_orig/train/001#396:takimi
Pronoun	Pronoun-demonstrative	Gender=feminine|Number=plural|Case=locative|Syntactic-Type=adjectival	Pronoun-demonstrative	2	data/treex/000_orig/train/003#196:teh
Pronoun	Pronoun-demonstrative	Gender=feminine|Number=plural|Case=nominative|Syntactic-Type=adjectival	Pronoun-demonstrative	8	data/treex/000_orig/train/001#42:te
Pronoun	Pronoun-demonstrative	Gender=feminine|Number=singular|Case=accusative|Syntactic-Type=adjectival	Pronoun-demonstrative	18	data/treex/000_orig/train/001#68:tako
Pronoun	Pronoun-demonstrative	Gender=feminine|Number=singular|Case=accusative|Syntactic-Type=nominal	Pronoun-demonstrative	2	data/treex/000_orig/train/001#221:to
Pronoun	Pronoun-demonstrative	Gender=feminine|Number=singular|Case=genitive|Syntactic-Type=adjectival	Pronoun-demonstrative	9	data/treex/000_orig/train/001#80:tiste
Pronoun	Pronoun-demonstrative	Gender=feminine|Number=singular|Case=genitive|Syntactic-Type=nominal	Pronoun-demonstrative	1	data/treex/000_orig/test/001#127:te
Pronoun	Pronoun-demonstrative	Gender=feminine|Number=singular|Case=instrumental|Syntactic-Type=adjectival	Pronoun-demonstrative	5	data/treex/000_orig/train/001#253:tisto
Pronoun	Pronoun-demonstrative	Gender=feminine|Number=singular|Case=locative|Syntactic-Type=adjectival	Pronoun-demonstrative	7	data/treex/000_orig/train/001#61:tej
Pronoun	Pronoun-demonstrative	Gender=feminine|Number=singular|Case=nominative|Syntactic-Type=adjectival	Pronoun-demonstrative	14	data/treex/000_orig/train/001#250:tista
Pronoun	Pronoun-demonstrative	Gender=feminine|Number=singular|Case=nominative|Syntactic-Type=nominal	Pronoun-demonstrative	3	data/treex/000_orig/train/002#157:Le-ta
Pronoun	Pronoun-demonstrative	Gender=masculine|Number=plural|Case=accusative|Syntactic-Type=adjectival	Pronoun-demonstrative	6	data/treex/000_orig/train/002#275:tiste
Pronoun	Pronoun-demonstrative	Gender=masculine|Number=plural|Case=genitive|Syntactic-Type=adjectival	Pronoun-demonstrative	9	data/treex/000_orig/train/001#195:teh
Pronoun	Pronoun-demonstrative	Gender=masculine|Number=plural|Case=locative|Syntactic-Type=adjectival	Pronoun-demonstrative	8	data/treex/000_orig/train/001#161:takih
Pronoun	Pronoun-demonstrative	Gender=masculine|Number=plural|Case=nominative|Syntactic-Type=adjectival	Pronoun-demonstrative	12	data/treex/000_orig/train/001#190:taki
Pronoun	Pronoun-demonstrative	Gender=masculine|Number=singular|Case=accusative|Syntactic-Type=adjectival|Animate=no	Pronoun-demonstrative	27	data/treex/000_orig/train/001#34:oni
Pronoun	Pronoun-demonstrative	Gender=masculine|Number=singular|Case=accusative|Syntactic-Type=adjectival|Animate=yes	Pronoun-demonstrative	1	data/treex/000_orig/train/002#218:onega
Pronoun	Pronoun-demonstrative	Gender=masculine|Number=singular|Case=accusative|Syntactic-Type=nominal|Animate=no	Pronoun-demonstrative	1	data/treex/000_orig/train/001#34:ta
Pronoun	Pronoun-demonstrative	Gender=masculine|Number=singular|Case=dative|Syntactic-Type=adjectival	Pronoun-demonstrative	2	data/treex/000_orig/train/002#480:tistemu
Pronoun	Pronoun-demonstrative	Gender=masculine|Number=singular|Case=dative|Syntactic-Type=nominal	Pronoun-demonstrative	4	data/treex/000_orig/train/002#327:temu
Pronoun	Pronoun-demonstrative	Gender=masculine|Number=singular|Case=genitive|Syntactic-Type=adjectival	Pronoun-demonstrative	9	data/treex/000_orig/train/001#137:tega
Pronoun	Pronoun-demonstrative	Gender=masculine|Number=singular|Case=instrumental|Syntactic-Type=adjectival	Pronoun-demonstrative	3	data/treex/000_orig/train/002#455:tistim
Pronoun	Pronoun-demonstrative	Gender=masculine|Number=singular|Case=locative|Syntactic-Type=adjectival	Pronoun-demonstrative	19	data/treex/000_orig/train/001#93:tem
Pronoun	Pronoun-demonstrative	Gender=masculine|Number=singular|Case=nominative|Syntactic-Type=adjectival	Pronoun-demonstrative	15	data/treex/000_orig/train/001#41:takšen
Pronoun	Pronoun-demonstrative	Gender=masculine|Number=singular|Case=nominative|Syntactic-Type=nominal	Pronoun-demonstrative	1	data/treex/000_orig/test/001#302:Ta
Pronoun	Pronoun-demonstrative	Gender=neuter|Number=plural|Case=accusative|Syntactic-Type=adjectival	Pronoun-demonstrative	1	data/treex/000_orig/train/001#324:Takšna
Pronoun	Pronoun-demonstrative	Gender=neuter|Number=plural|Case=genitive|Syntactic-Type=adjectival	Pronoun-demonstrative	4	data/treex/000_orig/train/001#327:tistih
Pronoun	Pronoun-demonstrative	Gender=neuter|Number=plural|Case=nominative|Syntactic-Type=adjectival	Pronoun-demonstrative	1	data/treex/000_orig/train/003#348:taka
Pronoun	Pronoun-demonstrative	Gender=neuter|Number=singular|Case=accusative|Syntactic-Type=adjectival	Pronoun-demonstrative	12	data/treex/000_orig/train/001#141:Tisto
Pronoun	Pronoun-demonstrative	Gender=neuter|Number=singular|Case=accusative|Syntactic-Type=nominal	Pronoun-demonstrative	56	data/treex/000_orig/train/001#77:to
Pronoun	Pronoun-demonstrative	Gender=neuter|Number=singular|Case=dative|Syntactic-Type=nominal	Pronoun-demonstrative	4	data/treex/000_orig/train/001#78:temu
Pronoun	Pronoun-demonstrative	Gender=neuter|Number=singular|Case=genitive|Syntactic-Type=adjectival	Pronoun-demonstrative	7	data/treex/000_orig/train/001#83:tega
Pronoun	Pronoun-demonstrative	Gender=neuter|Number=singular|Case=genitive|Syntactic-Type=nominal	Pronoun-demonstrative	27	data/treex/000_orig/train/001#135:tega
Pronoun	Pronoun-demonstrative	Gender=neuter|Number=singular|Case=instrumental|Syntactic-Type=nominal	Pronoun-demonstrative	12	data/treex/000_orig/train/001#234:tem
Pronoun	Pronoun-demonstrative	Gender=neuter|Number=singular|Case=locative|Syntactic-Type=adjectival	Pronoun-demonstrative	5	data/treex/000_orig/train/001#412:tistem
Pronoun	Pronoun-demonstrative	Gender=neuter|Number=singular|Case=locative|Syntactic-Type=nominal	Pronoun-demonstrative	9	data/treex/000_orig/train/001#30:tem
Pronoun	Pronoun-demonstrative	Gender=neuter|Number=singular|Case=nominative|Syntactic-Type=adjectival	Pronoun-demonstrative	26	data/treex/000_orig/train/001#12:to
Pronoun	Pronoun-demonstrative	Gender=neuter|Number=singular|Case=nominative|Syntactic-Type=nominal	Pronoun-demonstrative	140	data/treex/000_orig/train/001#9:To
Pronoun	Pronoun-general	Case=accusative|Syntactic-Type=nominal	Pronoun-general	6	data/treex/000_orig/train/001#35:vsakogar
Pronoun	Pronoun-general	Case=dative|Syntactic-Type=nominal	Pronoun-general	1	data/treex/000_orig/train/001#232:vsakomur
Pronoun	Pronoun-general	Case=nominative|Syntactic-Type=nominal	Pronoun-general	2	data/treex/000_orig/train/002#146:Vsakdo
Pronoun	Pronoun-general	Gender=feminine|Number=dual|Case=accusative|Syntactic-Type=adjectival	Pronoun-general	1	data/treex/000_orig/train/003#428:obe
Pronoun	Pronoun-general	Gender=feminine|Number=dual|Case=nominative|Syntactic-Type=nominal	Pronoun-general	1	data/treex/000_orig/train/001#496:Obe
Pronoun	Pronoun-general	Gender=feminine|Number=plural|Case=accusative|Syntactic-Type=adjectival	Pronoun-general	4	data/treex/000_orig/train/001#42:vse
Pronoun	Pronoun-general	Gender=feminine|Number=plural|Case=genitive|Syntactic-Type=adjectival	Pronoun-general	4	data/treex/000_orig/train/002#68:Vsakih
Pronoun	Pronoun-general	Gender=feminine|Number=plural|Case=genitive|Syntactic-Type=nominal	Pronoun-general	1	data/treex/000_orig/train/003#91:vseh
Pronoun	Pronoun-general	Gender=feminine|Number=plural|Case=instrumental|Syntactic-Type=adjectival	Pronoun-general	2	data/treex/000_orig/train/002#200:vsemi
Pronoun	Pronoun-general	Gender=feminine|Number=plural|Case=locative|Syntactic-Type=adjectival	Pronoun-general	1	data/treex/000_orig/train/002#169:vseh
Pronoun	Pronoun-general	Gender=feminine|Number=plural|Case=locative|Syntactic-Type=nominal	Pronoun-general	1	data/treex/000_orig/test/001#377:vseh
Pronoun	Pronoun-general	Gender=feminine|Number=plural|Case=nominative|Syntactic-Type=adjectival	Pronoun-general	8	data/treex/000_orig/train/001#291:vse
Pronoun	Pronoun-general	Gender=feminine|Number=plural|Case=nominative|Syntactic-Type=nominal	Pronoun-general	3	data/treex/000_orig/train/002#186:vse
Pronoun	Pronoun-general	Gender=feminine|Number=singular|Case=accusative|Syntactic-Type=adjectival	Pronoun-general	6	data/treex/000_orig/train/001#50:vso
Pronoun	Pronoun-general	Gender=feminine|Number=singular|Case=accusative|Syntactic-Type=nominal	Pronoun-general	1	data/treex/000_orig/train/001#399:Vso
Pronoun	Pronoun-general	Gender=feminine|Number=singular|Case=genitive|Syntactic-Type=adjectival	Pronoun-general	2	data/treex/000_orig/train/002#332:vse
Pronoun	Pronoun-general	Gender=feminine|Number=singular|Case=instrumental|Syntactic-Type=adjectival	Pronoun-general	4	data/treex/000_orig/train/001#216:vso
Pronoun	Pronoun-general	Gender=feminine|Number=singular|Case=instrumental|Syntactic-Type=nominal	Pronoun-general	1	data/treex/000_orig/train/003#259:vso
Pronoun	Pronoun-general	Gender=feminine|Number=singular|Case=locative|Syntactic-Type=adjectival	Pronoun-general	5	data/treex/000_orig/train/002#158:vsaki
Pronoun	Pronoun-general	Gender=feminine|Number=singular|Case=locative|Syntactic-Type=nominal	Pronoun-general	2	data/treex/000_orig/train/002#469:vsej
Pronoun	Pronoun-general	Gender=feminine|Number=singular|Case=nominative|Syntactic-Type=adjectival	Pronoun-general	6	data/treex/000_orig/train/002#181:vsaka
Pronoun	Pronoun-general	Gender=feminine|Number=singular|Case=nominative|Syntactic-Type=nominal	Pronoun-general	1	data/treex/000_orig/train/002#412:Vsa
Pronoun	Pronoun-general	Gender=masculine|Number=dual|Case=accusative|Syntactic-Type=adjectival	Pronoun-general	1	data/treex/000_orig/train/003#122:oba
Pronoun	Pronoun-general	Gender=masculine|Number=dual|Case=accusative|Syntactic-Type=nominal	Pronoun-general	1	data/treex/000_orig/train/001#493:Oba
Pronoun	Pronoun-general	Gender=masculine|Number=dual|Case=locative|Syntactic-Type=adjectival	Pronoun-general	1	data/treex/000_orig/train/003#348:obeh
Pronoun	Pronoun-general	Gender=masculine|Number=dual|Case=nominative|Syntactic-Type=nominal	Pronoun-general	4	data/treex/000_orig/train/001#369:oba
Pronoun	Pronoun-general	Gender=masculine|Number=plural|Case=accusative|Syntactic-Type=adjectival	Pronoun-general	9	data/treex/000_orig/train/002#176:vse
Pronoun	Pronoun-general	Gender=masculine|Number=plural|Case=accusative|Syntactic-Type=nominal	Pronoun-general	3	data/treex/000_orig/train/001#287:vse
Pronoun	Pronoun-general	Gender=masculine|Number=plural|Case=genitive|Syntactic-Type=adjectival	Pronoun-general	1	data/treex/000_orig/train/003#268:vseh
Pronoun	Pronoun-general	Gender=masculine|Number=plural|Case=genitive|Syntactic-Type=nominal	Pronoun-general	1	data/treex/000_orig/train/001#261:vseh
Pronoun	Pronoun-general	Gender=masculine|Number=plural|Case=instrumental|Syntactic-Type=nominal	Pronoun-general	1	data/treex/000_orig/train/002#331:vsemi
Pronoun	Pronoun-general	Gender=masculine|Number=plural|Case=nominative|Syntactic-Type=adjectival	Pronoun-general	11	data/treex/000_orig/train/001#182:Vsi
Pronoun	Pronoun-general	Gender=masculine|Number=plural|Case=nominative|Syntactic-Type=nominal	Pronoun-general	11	data/treex/000_orig/train/001#196:vsi
Pronoun	Pronoun-general	Gender=masculine|Number=singular|Case=accusative|Syntactic-Type=adjectival|Animate=no	Pronoun-general	12	data/treex/000_orig/train/001#35:ves
Pronoun	Pronoun-general	Gender=masculine|Number=singular|Case=accusative|Syntactic-Type=adjectival|Animate=yes	Pronoun-general	1	data/treex/000_orig/train/002#285:vsakega
Pronoun	Pronoun-general	Gender=masculine|Number=singular|Case=accusative|Syntactic-Type=nominal|Animate=no	Pronoun-general	1	data/treex/000_orig/test/001#312:Ves
Pronoun	Pronoun-general	Gender=masculine|Number=singular|Case=dative|Syntactic-Type=adjectival	Pronoun-general	2	data/treex/000_orig/train/001#36:vsakemu
Pronoun	Pronoun-general	Gender=masculine|Number=singular|Case=genitive|Syntactic-Type=nominal	Pronoun-general	1	data/treex/000_orig/train/001#306:vsega
Pronoun	Pronoun-general	Gender=masculine|Number=singular|Case=instrumental|Syntactic-Type=adjectival	Pronoun-general	1	data/treex/000_orig/train/001#180:vsakim
Pronoun	Pronoun-general	Gender=masculine|Number=singular|Case=instrumental|Syntactic-Type=nominal	Pronoun-general	1	data/treex/000_orig/test/001#313:vsem
Pronoun	Pronoun-general	Gender=masculine|Number=singular|Case=locative|Syntactic-Type=adjectival	Pronoun-general	9	data/treex/000_orig/train/001#180:vsakem
Pronoun	Pronoun-general	Gender=masculine|Number=singular|Case=nominative|Syntactic-Type=adjectival	Pronoun-general	9	data/treex/000_orig/train/001#32:Vsak
Pronoun	Pronoun-general	Gender=neuter|Number=dual|Case=accusative|Syntactic-Type=nominal	Pronoun-general	1	data/treex/000_orig/train/002#99:obe
Pronoun	Pronoun-general	Gender=neuter|Number=plural|Case=accusative|Syntactic-Type=adjectival	Pronoun-general	1	data/treex/000_orig/train/001#50:vsa
Pronoun	Pronoun-general	Gender=neuter|Number=plural|Case=genitive|Syntactic-Type=adjectival	Pronoun-general	3	data/treex/000_orig/train/001#201:vseh
Pronoun	Pronoun-general	Gender=neuter|Number=plural|Case=locative|Syntactic-Type=adjectival	Pronoun-general	1	data/treex/000_orig/train/003#246:vseh
Pronoun	Pronoun-general	Gender=neuter|Number=plural|Case=nominative|Syntactic-Type=adjectival	Pronoun-general	2	data/treex/000_orig/train/001#182:vsa
Pronoun	Pronoun-general	Gender=neuter|Number=singular|Case=accusative|Syntactic-Type=adjectival	Pronoun-general	4	data/treex/000_orig/train/001#393:vse
Pronoun	Pronoun-general	Gender=neuter|Number=singular|Case=accusative|Syntactic-Type=nominal	Pronoun-general	15	data/treex/000_orig/train/001#93:vse
Pronoun	Pronoun-general	Gender=neuter|Number=singular|Case=dative|Syntactic-Type=nominal	Pronoun-general	1	data/treex/000_orig/train/001#196:vsemu
Pronoun	Pronoun-general	Gender=neuter|Number=singular|Case=genitive|Syntactic-Type=adjectival	Pronoun-general	4	data/treex/000_orig/train/001#22:vsakega
Pronoun	Pronoun-general	Gender=neuter|Number=singular|Case=genitive|Syntactic-Type=nominal	Pronoun-general	4	data/treex/000_orig/train/001#396:vsega
Pronoun	Pronoun-general	Gender=neuter|Number=singular|Case=instrumental|Syntactic-Type=nominal	Pronoun-general	1	data/treex/000_orig/train/002#371:vsem
Pronoun	Pronoun-general	Gender=neuter|Number=singular|Case=locative|Syntactic-Type=adjectival	Pronoun-general	7	data/treex/000_orig/train/001#11:vsakem
Pronoun	Pronoun-general	Gender=neuter|Number=singular|Case=nominative|Syntactic-Type=adjectival	Pronoun-general	4	data/treex/000_orig/train/002#379:Vse
