1	- masing	PUNCT ADJ	punct
1	satu itu	DET DET	dobj
1	satu persatu	NUM NUM	nummod
1	satu salah	DET DET	acl
116	satu salah	DET DET	det
1	satu salah	DET DET	dobj
1	satu salah	DET DET	nsubj
26	satu salah	DET DET	nummod
17	satu salah	NOUN NOUN	det
2	satu salah	NUM DET	det
4	satu salah	NUM NOUN	det
2	satu sama	DET DET	det
1	satu sama	NOUN NOUN	det
1	satu sama	NUM ADJ	det
5	satu sama	NUM ADJ	nummod
1	satu sama	NUM CONJ	nummod
5	satu satunya	DET DET	det
4	satu satunya	DET DET	nummod
1	satu satunya	NUM NUM	conj
4	satu satunya	NUM NUM	nummod
1	satuan satuan	NOUN NOUN	nmod
1	satunya salah	DET DET	det
1	satunya salah	DET DET	nsubj
1	satunya salah	DET DET	nummod
1	satunya salah	NOUN DET	nsubj
1	saudara saudaranya	NOUN NOUN	conj
1	saudara saudaranya	NOUN NOUN	dobj
1	sayur sayuran	NOUN NOUN	compound
1	sebab itulah	CONJ DET	cc
1	sebab musababnya	NOUN NOUN	dobj
1	sebaik baiknya	ADJ ADJ	xcomp
1	segar bugar	ADJ ADJ	amod
1	sehari hari	ADJ ADJ	amod
6	sehari hari	ADV ADV	advmod
1	sehari hari	NOUN NOUN	amod
3	sehari hari	NOUN NOUN	compound
1	sehari harinya	ADV ADV	advmod
1	sejarah asal	NOUN NOUN	dobj
2	sekali sama	ADV ADJ	advmod
6	sekali sama	ADV ADV	advmod
3	sekolah sekolah	NOUN NOUN	conj
1	sekolah sekolah	NOUN NOUN	dobj
1	sekolah sekolah	NOUN NOUN	nmod
1	sekte sekte	NOUN NOUN	nsubj
1	sel sel	NOUN NOUN	dobj
1	selama lamanya	ADV ADV	advmod
1	selang seling	ADV ADV	compound
1	selenggarakan di	VERB VERB	root
1	semata mata	ADV ADV	advmod
2	sementara itu	CONJ DET	cc
3	sementara itu	SCONJ CONJ	mark
2	sementara itu	SCONJ DET	mark
2	senapan senapan	NOUN NOUN	nmod
1	sendiri sendiri	ADV ADV	amod
1	sendiri sendiri	PRON PRON	dobj
2	seolah olah	ADV ADV	advmod
7	seorang salah	DET DET	det
1	seorang salah	DET NOUN	det
1	seorang salah	NOUN NOUN	det
1	seorang salah	NOUN NOUN	nsubj
1	serangan serangan	NOUN NOUN	conj
1	serangan serangannya	NOUN NOUN	dobj
2	serat serat	NOUN NOUN	appos
1	seri seri	NOUN NOUN	nmod
1	sering begitu	ADV ADV	advmod
1	sering sering	ADV ADV	advmod
1	serta merta	ADJ ADJ	amod
1	server server	NOUN NOUN	nmod
1	setelah itu	SCONJ PROPN	mark
1	siapakah gerangan	PRON NOUN	nsubj
1	sifat sifat	NOUN NOUN	compound
1	sifat sifat	NOUN NOUN	nmod
1	silih asih	NOUN NOUN	mwe
1	silih asuh	NOUN NOUN	conj
1	simbol simbol	NOUN NOUN	conj
1	sinyal sinyal	NOUN NOUN	compound
1	sinyal sinyal	NOUN NOUN	dobj
1	sisa sisa	NOUN NOUN	compound
1	sisa sisa	NOUN NOUN	dobj
2	sisa sisa	NOUN NOUN	nmod
1	sisa sisa	PROPN NOUN	nsubj
1	sisi sisi	NOUN NOUN	nmod
1	sistem sistem	NOUN NOUN	dobj
1	siswa siswa	NOUN NOUN	dobj
1	situs situs	NOUN NOUN	nmod
1	solusi solusi	NOUN NOUN	dobj
1	sub genre	NOUN NOUN	nmod
1	sugok seong	PROPN PROPN	conj
1	suku suku	NOUN NOUN	conj
2	suku suku	NOUN NOUN	nmod
1	sumber sumber	NOUN NOUN	conj
2	sumber sumber	NOUN NOUN	nmod
1	sungai sungai	NOUN NOUN	nsubj
1	surah surah	NOUN NOUN	nsubjpass
1	surat surat	NOUN NOUN	nmod
1	tabiat tabiat	NOUN NOUN	compound
1	tahap tahapan	NOUN NOUN	nmod
4	tahun tahun	NOUN NOUN	nmod
1	tahun ulang	NOUN NOUN	compound
1	taman taman	NOUN NOUN	dobj
1	tambang tambang	NOUN NOUN	nsubj
1	tanaman baik	NOUN CONJ	nmod
1	tanda tanda	NOUN NOUN	compound
1	tanda tanda	NOUN NOUN	dobj
1	tanda tanda	NOUN NOUN	nsubj
1	tarik menarik	VERB VERB	conj
1	teka teki	NOUN NOUN	dobj
1	teknologi teknologi	NOUN NOUN	compound
2	teks teks	NOUN NOUN	dobj
1	teks teks	NOUN NOUN	nmod
1	teks teks	NOUN NOUN	nsubjpass
1	teluk teluk	NOUN NOUN	conj
1	tema tema	PROPN NOUN	nsubj
1	teman teman	NOUN NOUN	nmod
1	teman teman	NOUN NOUN	nsubj
2	teman temannya	NOUN NOUN	compound
2	teman temannya	NOUN NOUN	conj
1	teman temannya	NOUN NOUN	nmod
1	tembak baku	VERB VERB	xcomp
1	tembang tembang	NOUN NOUN	xcomp
1	tempat tempat	NOUN NOUN	conj
2	tempat tempat	NOUN NOUN	dobj
3	tempat tempat	NOUN NOUN	nmod
1	tempat ternpat	NOUN NOUN	conj
1	tenaga tenaga	NOUN NOUN	dobj
1	tenant tenant	NOUN NOUN	nmod
1	tengah tengah	ADJ ADJ	acl
1	tengah tengah	NOUN NOUN	nmod
1	tengah tengahnya	NOUN NOUN	nmod
1	teori teori	NOUN NOUN	nmod
1	teori teori	PROPN NOUN	nsubj
1	tepi tepi	NOUN NOUN	nmod
1	terbitan terbitan	NOUN NOUN	nmod
1	terburu buru	ADJ ADJ	xcomp
1	terdiri atas	VERB NOUN	acl
1	terdiri dari	VERB ADP	acl
1	terhuyung huyung	ADJ ADJ	amod
1	terlepas sama	VERB ADJ	dep
1	terobosan terobosan	NOUN NOUN	nmod
1	terombang ambing	VERB VERB	xcomp
1	terus menerus	ADV VERB	acl
1	terus menerus	VERB VERB	root
1	terus menurus	ADV ADV	advmod
3	tetapi akan	CONJ CONJ	cc
1	tetapi akan	SCONJ CONJ	mark
1	tiang tiang	NOUN NOUN	compound
1	tiang tiang	PROPN NOUN	nsubj
1	tiba tiba	ADJ ADJ	amod
7	tiba tiba	ADV ADV	advmod
1	tim tim	NOUN NOUN	nmod
1	tindakan tindakan	NOUN NOUN	nmod
2	toko toko	NOUN NOUN	nmod
1	tokoh tokoh	NOUN NOUN	nmod
1	toksin toksin	NOUN NOUN	dobj
1	tolak menolak	VERB VERB	advcl
1	tolak ukur	NOUN NOUN	dobj
1	tugas tugas	NOUN NOUN	dobj
1	tulis di	VERB VERB	advcl
1	tulisan tulisan	PROPN NOUN	nsubj
1	tulisan tulisannya	NOUN NOUN	nsubjpass
1	tumbuh tumbuhan	PROPN NOUN	nsubj
1	turun temurun	VERB VERB	acl
1	turut serta	ADV ADV	advmod
1	turut serta	VERB VERB	xcomp
1	ucapan ucapan	NOUN NOUN	dobj
1	ucapan ucapan	NOUN NOUN	nsubj
2	ucapan ucapan	NOUN NOUN	nsubjpass
1	ujung ujungnya	NOUN NOUN	nmod
1	ukir ukiran	NOUN NOUN	conj
1	ulang alik	VERB VERB	acl
1	ulen ulen	NOUN NOUN	compound
1	umpan umpan	NOUN NOUN	nmod
3	undang undang	NOUN NOUN	compound
3	undang undang	NOUN NOUN	dobj
2	undang undang	NOUN NOUN	nmod
1	undang undang	PROPN NOUN	conj
1	undang undang	PROPN PROPN	nsubjpass
1	unit unit	PROPN NOUN	nsubj
1	unjuk rasa	NOUN NOUN	dobj
4	unsur unsur	NOUN NOUN	dobj
1	urat urat	NOUN NOUN	nmod
1	urun rembug	VERB VERB	acl
1	usaha usaha	NOUN NOUN	nsubjpass
1	usaha usaha	PROPN NOUN	nsubjpass
1	usu asa	NOUN NOUN	compound
1	utara tengah	NOUN NOUN	nmod
1	vertical align	NOUN NOUN	parataxis
1	vicarius semacam	PROPN DET	appos
1	video videonya	PROPN NOUN	nmod
1	waktu itu	NOUN NOUN	root
1	waktu tepat	ADV ADV	advmod
1	waktu tepat	NOUN ADJ	amod
2	walaupun demikian	SCONJ ADV	mark
1	warna warna	PROPN NOUN	nsubjpass
1	wartawan wartawan	NOUN NOUN	nsubj
1	wilayah wilayah	NOUN NOUN	compound
1	xylanase sebagian	PROPN DET	nsubjpass
1	yang mana	PRON PRON	nsubj
1	| |	PUNCT PUNCT	root
