vyhlaska.iso-007-p72s5	document_01_007-sentence1
zakon.iso-006-p41s2	document_02_006-sentence24
zakon.iso-006-p42s1	document_02_006-sentence25
zakon.iso-006-p42s2	document_02_006-sentence26
zakon.iso-006-p42s3	document_02_006-sentence27
zakon.iso-006-p42s4	document_02_006-sentence28
zakon.iso-006-p42s6	document_02_006-sentence29
zakon.iso-006-p42s8	document_02_006-sentence30
zakon.iso-006-p43s1	document_02_006-sentence31
zakon.iso-006-p43s2	document_02_006-sentence32
zakon.iso-006-p43s3	document_02_006-sentence33
zakon.iso-006-p43s4	document_02_006-sentence34
zakon.iso-006-p43s5	document_02_006-sentence35
zakon.iso-006-p43s6	document_02_006-sentence36
zakon.iso-006-p43s7	document_02_006-sentence37
zakon.iso-006-p44s1	document_02_006-sentence38
zakon.iso-006-p44s2	document_02_006-sentence39
zakon.iso-006-p45s1	document_02_006-sentence40
zakon.iso-006-p45s2	document_02_006-sentence41
zakon.iso-006-p45s3	document_02_006-sentence42
zakon.iso-006-p45s4	document_02_006-sentence43
zakon.iso-006-p45s5	document_02_006-sentence44
zakon.iso-006-p45s6	document_02_006-sentence45
zakon.iso-006-p45s8	document_02_006-sentence46
zakon.iso-006-p45s9	document_02_006-sentence47
zakon.iso-006-p45s10	document_02_006-sentence48
zakon.iso-006-p45s11	document_02_006-sentence49
zakon.iso-006-p45s12	document_02_006-sentence50
zakon.iso-006-p45s13	document_02_006-sentence51
zakon.iso-006-p45s14	document_02_006-sentence52
zakon.iso-006-p45s15	document_02_006-sentence53
zakon.iso-006-p45s16	document_02_006-sentence54
zakon.iso-006-p45s17	document_02_006-sentence55
zakon.iso-006-p45s18	document_02_006-sentence56
zakon.iso-006-p45s19	document_02_006-sentence57
zakon.iso-006-p45s20	document_02_006-sentence58
zakon.iso-006-p45s21	document_02_006-sentence59
zakon.iso-006-p45s22	document_02_006-sentence60
zakon.iso-006-p45s23	document_02_006-sentence61
zakon.iso-006-p45s24	document_02_006-sentence62
zakon.iso-006-p45s25	document_02_006-sentence63
zakon.iso-006-p46s1	document_02_006-sentence64
zakon.iso-006-p46s2	document_02_006-sentence65
zakon.iso-006-p46s3	document_02_006-sentence66
zakon.iso-006-p46s5	document_02_006-sentence67
zakon.iso-006-p46s6	document_02_006-sentence68
zakon.iso-006-p46s7	document_02_006-sentence69
zakon.iso-006-p46s8	document_02_006-sentence70
zakon.iso-006-p46s9	document_02_006-sentence71
zakon.iso-006-p46s10	document_02_006-sentence72
zakon.iso-006-p46s11	document_02_006-sentence73
zakon.iso-007-p46s13	document_02_007-sentence1
zakon.iso-007-p46s14	document_02_007-sentence2
zakon.iso-007-p46s15	document_02_007-sentence3
zakon.iso-007-p46s17	document_02_007-sentence4
zakon.iso-007-p46s18	document_02_007-sentence5
zakon.iso-007-p47s1	document_02_007-sentence6
zakon.iso-007-p47s2	document_02_007-sentence7
zakon.iso-007-p47s3	document_02_007-sentence8
zakon.iso-007-p47s4	document_02_007-sentence9
zakon.iso-007-p48s1	document_02_007-sentence10
zakon.iso-007-p48s2	document_02_007-sentence11
zakon.iso-007-p48s3	document_02_007-sentence12
zakon.iso-007-p48s4	document_02_007-sentence13
zakon.iso-007-p48s5	document_02_007-sentence14
zakon.iso-007-p48s6	document_02_007-sentence15
zakon.iso-007-p48s7	document_02_007-sentence16
zakon.iso-007-p48s8	document_02_007-sentence17
zakon.iso-007-p48s9	document_02_007-sentence18
zakon.iso-007-p48s10	document_02_007-sentence19
zakon.iso-007-p48s11	document_02_007-sentence20
zakon.iso-007-p49s1	document_02_007-sentence21
zakon.iso-007-p49s2	document_02_007-sentence22
zakon.iso-007-p49s3	document_02_007-sentence23
zakon.iso-007-p49s4	document_02_007-sentence24
zakon.iso-007-p49s5	document_02_007-sentence25
zakon.iso-007-p49s6	document_02_007-sentence26
zakon.iso-007-p49s7	document_02_007-sentence27
zakon.iso-007-p49s8	document_02_007-sentence28
zakon.iso-007-p49s9	document_02_007-sentence29
zakon.iso-007-p49s10	document_02_007-sentence30
zakon.iso-007-p49s11	document_02_007-sentence31
zakon.iso-007-p49s12	document_02_007-sentence32
zakon.iso-007-p49s13	document_02_007-sentence33
zakon.iso-007-p50s1	document_02_007-sentence34
zakon.iso-007-p51s1	document_02_007-sentence35
zakon.iso-007-p51s2	document_02_007-sentence36
zakon.iso-007-p51s4	document_02_007-sentence37
zakon.iso-007-p52s1	document_02_007-sentence38
zakon.iso-007-p52s2	document_02_007-sentence39
zakon.iso-007-p52s4	document_02_007-sentence40
zakon.iso-007-p52s6	document_02_007-sentence41
zakon.iso-007-p53s1	document_02_007-sentence42
zakon.iso-007-p53s2	document_02_007-sentence43
zakon.iso-007-p53s3	document_02_007-sentence44
zakon.iso-007-p53s4	document_02_007-sentence45
zakon.iso-007-p53s5	document_02_007-sentence46
zakon.iso-007-p53s6	document_02_007-sentence47
zakon.iso-007-p54s1	document_02_007-sentence48
zakon.iso-007-p54s2	document_02_007-sentence49
zakon.iso-007-p54s3	document_02_007-sentence50
zakon.iso-007-p54s4	document_02_007-sentence51
zakon.iso-007-p54s5	document_02_007-sentence52
zakon.iso-007-p54s6	document_02_007-sentence53
zakon.iso-007-p54s7	document_02_007-sentence54
zakon.iso-007-p54s8	document_02_007-sentence55
zakon.iso-007-p55s1	document_02_007-sentence56
zakon.iso-007-p55s2	document_02_007-sentence57
zakon.iso-007-p55s3	document_02_007-sentence58
zakon.iso-007-p55s4	document_02_007-sentence59
zakon.iso-007-p56s1	document_02_007-sentence60
zakon.iso-007-p56s2	document_02_007-sentence61
zakon.iso-007-p56s3	document_02_007-sentence62
zakon.iso-007-p57s1	document_02_007-sentence63
zakon.iso-008-p57s2	document_02_008-sentence1
zakon.iso-008-p58s1	document_02_008-sentence2
zakon.iso-008-p58s2	document_02_008-sentence3
zakon.iso-008-p59s1	document_02_008-sentence4
zakon.iso-008-p59s2	document_02_008-sentence5
vyhlaska.iso-001-p1s1	document_01_001-sentence1
vyhlaska.iso-001-p1s2	document_01_001-sentence2
vyhlaska.iso-001-p2s1	document_01_001-sentence3
vyhlaska.iso-001-p2s2	document_01_001-sentence4
vyhlaska.iso-001-p3s1	document_01_001-sentence5
vyhlaska.iso-001-p3s2	document_01_001-sentence6
vyhlaska.iso-001-p3s3	document_01_001-sentence7
vyhlaska.iso-001-p3s4	document_01_001-sentence8
vyhlaska.iso-001-p3s5	document_01_001-sentence9
vyhlaska.iso-001-p4s1	document_01_001-sentence10
vyhlaska.iso-001-p4s2	document_01_001-sentence11
vyhlaska.iso-001-p5s1	document_01_001-sentence12
vyhlaska.iso-001-p5s2	document_01_001-sentence13
vyhlaska.iso-001-p6s1	document_01_001-sentence14
vyhlaska.iso-001-p6s2	document_01_001-sentence15
vyhlaska.iso-001-p6s3	document_01_001-sentence16
vyhlaska.iso-001-p6s4	document_01_001-sentence17
vyhlaska.iso-001-p6s5	document_01_001-sentence18
vyhlaska.iso-001-p6s6	document_01_001-sentence19
vyhlaska.iso-001-p6s7	document_01_001-sentence20
vyhlaska.iso-001-p6s8	document_01_001-sentence21
vyhlaska.iso-001-p6s9	document_01_001-sentence22
vyhlaska.iso-001-p6s10	document_01_001-sentence23
vyhlaska.iso-001-p6s11	document_01_001-sentence24
vyhlaska.iso-001-p7s1	document_01_001-sentence25
vyhlaska.iso-001-p7s2	document_01_001-sentence26
vyhlaska.iso-001-p7s3	document_01_001-sentence27
vyhlaska.iso-001-p7s4	document_01_001-sentence28
vyhlaska.iso-001-p7s5	document_01_001-sentence29
vyhlaska.iso-001-p7s6	document_01_001-sentence30
vyhlaska.iso-001-p7s8	document_01_001-sentence31
vyhlaska.iso-001-p7s9	document_01_001-sentence32
vyhlaska.iso-001-p7s10	document_01_001-sentence33
vyhlaska.iso-001-p7s11	document_01_001-sentence34
vyhlaska.iso-001-p7s12	document_01_001-sentence35
vyhlaska.iso-001-p7s13	document_01_001-sentence36
vyhlaska.iso-001-p7s14	document_01_001-sentence37
vyhlaska.iso-001-p7s15	document_01_001-sentence38
vyhlaska.iso-001-p7s16	document_01_001-sentence39
vyhlaska.iso-001-p7s17	document_01_001-sentence40
vyhlaska.iso-001-p7s18	document_01_001-sentence41
vyhlaska.iso-001-p7s19	document_01_001-sentence42
vyhlaska.iso-001-p7s20	document_01_001-sentence43
vyhlaska.iso-001-p7s21	document_01_001-sentence44
vyhlaska.iso-001-p7s22	document_01_001-sentence45
vyhlaska.iso-001-p7s23	document_01_001-sentence46
vyhlaska.iso-001-p8s1	document_01_001-sentence47
vyhlaska.iso-001-p8s2	document_01_001-sentence48
vyhlaska.iso-001-p9s1	document_01_001-sentence49
vyhlaska.iso-001-p9s2	document_01_001-sentence50
vyhlaska.iso-001-p9s3	document_01_001-sentence51
vyhlaska.iso-001-p10s1	document_01_001-sentence52
vyhlaska.iso-001-p10s2	document_01_001-sentence53
vyhlaska.iso-001-p10s3	document_01_001-sentence54
vyhlaska.iso-001-p10s4	document_01_001-sentence55
vyhlaska.iso-001-p10s5	document_01_001-sentence56
vyhlaska.iso-001-p10s6	document_01_001-sentence57
vyhlaska.iso-001-p10s10	document_01_001-sentence58
vyhlaska.iso-001-p10s11	document_01_001-sentence59
vyhlaska.iso-001-p10s13	document_01_001-sentence60
vyhlaska.iso-001-p10s14	document_01_001-sentence61
vyhlaska.iso-001-p10s15	document_01_001-sentence62
vyhlaska.iso-001-p10s16	document_01_001-sentence63
vyhlaska.iso-001-p10s21	document_01_001-sentence64
vyhlaska.iso-001-p10s22	document_01_001-sentence65
vyhlaska.iso-001-p10s23	document_01_001-sentence66
vyhlaska.iso-001-p10s24	document_01_001-sentence67
vyhlaska.iso-001-p10s25	document_01_001-sentence68
vyhlaska.iso-001-p10s26	document_01_001-sentence69
vyhlaska.iso-001-p10s27	document_01_001-sentence70
vyhlaska.iso-001-p10s28	document_01_001-sentence71
vyhlaska.iso-001-p10s29	document_01_001-sentence72
vyhlaska.iso-001-p11s1	document_01_001-sentence73
vyhlaska.iso-001-p11s2	document_01_001-sentence74
vyhlaska.iso-001-p11s3	document_01_001-sentence75
vyhlaska.iso-002-p11s4	document_01_002-sentence1
vyhlaska.iso-002-p11s6	document_01_002-sentence2
vyhlaska.iso-002-p11s8	document_01_002-sentence3
vyhlaska.iso-002-p11s9	document_01_002-sentence4
vyhlaska.iso-002-p11s11	document_01_002-sentence5
vyhlaska.iso-002-p11s12	document_01_002-sentence6
vyhlaska.iso-002-p11s13	document_01_002-sentence7
vyhlaska.iso-002-p11s15	document_01_002-sentence8
vyhlaska.iso-002-p11s17	document_01_002-sentence9
vyhlaska.iso-002-p11s18	document_01_002-sentence10
vyhlaska.iso-002-p11s19	document_01_002-sentence11
vyhlaska.iso-002-p11s20	document_01_002-sentence12
vyhlaska.iso-002-p11s21	document_01_002-sentence13
vyhlaska.iso-002-p11s22	document_01_002-sentence14
vyhlaska.iso-002-p11s23	document_01_002-sentence15
vyhlaska.iso-002-p11s24	document_01_002-sentence16
vyhlaska.iso-002-p11s25	document_01_002-sentence17
vyhlaska.iso-002-p11s26	document_01_002-sentence18
vyhlaska.iso-002-p11s27	document_01_002-sentence19
vyhlaska.iso-002-p12s1	document_01_002-sentence20
vyhlaska.iso-002-p12s2	document_01_002-sentence21
vyhlaska.iso-002-p12s3	document_01_002-sentence22
vyhlaska.iso-002-p12s4	document_01_002-sentence23
vyhlaska.iso-002-p12s5	document_01_002-sentence24
vyhlaska.iso-002-p12s6	document_01_002-sentence25
vyhlaska.iso-002-p12s7	document_01_002-sentence26
vyhlaska.iso-002-p13s1	document_01_002-sentence27
vyhlaska.iso-002-p13s2	document_01_002-sentence28
vyhlaska.iso-002-p13s3	document_01_002-sentence29
vyhlaska.iso-002-p13s5	document_01_002-sentence30
vyhlaska.iso-002-p13s7	document_01_002-sentence31
vyhlaska.iso-002-p13s8	document_01_002-sentence32
vyhlaska.iso-002-p13s9	document_01_002-sentence33
vyhlaska.iso-002-p13s10	document_01_002-sentence34
vyhlaska.iso-002-p13s11	document_01_002-sentence35
vyhlaska.iso-002-p13s12	document_01_002-sentence36
vyhlaska.iso-002-p13s13	document_01_002-sentence37
vyhlaska.iso-002-p13s14	document_01_002-sentence38
vyhlaska.iso-002-p13s15	document_01_002-sentence39
vyhlaska.iso-002-p14s1	document_01_002-sentence40
vyhlaska.iso-002-p14s2	document_01_002-sentence41
vyhlaska.iso-002-p14s3	document_01_002-sentence42
vyhlaska.iso-002-p14s4	document_01_002-sentence43
vyhlaska.iso-002-p14s5	document_01_002-sentence44
vyhlaska.iso-002-p14s6	document_01_002-sentence45
vyhlaska.iso-002-p14s7	document_01_002-sentence46
vyhlaska.iso-002-p14s8	document_01_002-sentence47
vyhlaska.iso-002-p14s9	document_01_002-sentence48
vyhlaska.iso-002-p14s10	document_01_002-sentence49
vyhlaska.iso-002-p14s11	document_01_002-sentence50
vyhlaska.iso-002-p15s1	document_01_002-sentence51
vyhlaska.iso-002-p15s2	document_01_002-sentence52
vyhlaska.iso-002-p15s3	document_01_002-sentence53
vyhlaska.iso-002-p15s4	document_01_002-sentence54
vyhlaska.iso-002-p15s5	document_01_002-sentence55
vyhlaska.iso-002-p15s6	document_01_002-sentence56
vyhlaska.iso-002-p15s7	document_01_002-sentence57
vyhlaska.iso-002-p15s8	document_01_002-sentence58
vyhlaska.iso-002-p15s9	document_01_002-sentence59
vyhlaska.iso-002-p15s10	document_01_002-sentence60
vyhlaska.iso-002-p15s11	document_01_002-sentence61
vyhlaska.iso-002-p16s1	document_01_002-sentence62
vyhlaska.iso-002-p16s2	document_01_002-sentence63
vyhlaska.iso-002-p16s3	document_01_002-sentence64
vyhlaska.iso-002-p16s4	document_01_002-sentence65
vyhlaska.iso-002-p16s5	document_01_002-sentence66
vyhlaska.iso-002-p16s6	document_01_002-sentence67
vyhlaska.iso-002-p16s7	document_01_002-sentence68
vyhlaska.iso-002-p17s1	document_01_002-sentence69
vyhlaska.iso-002-p17s2	document_01_002-sentence70
vyhlaska.iso-002-p17s3	document_01_002-sentence71
vyhlaska.iso-002-p17s4	document_01_002-sentence72
vyhlaska.iso-002-p17s5	document_01_002-sentence73
vyhlaska.iso-002-p17s6	document_01_002-sentence74
vyhlaska.iso-002-p17s7	document_01_002-sentence75
vyhlaska.iso-002-p18s1	document_01_002-sentence76
vyhlaska.iso-003-p18s2	document_01_003-sentence1
vyhlaska.iso-003-p18s3	document_01_003-sentence2
vyhlaska.iso-003-p18s4	document_01_003-sentence3
vyhlaska.iso-003-p18s5	document_01_003-sentence4
vyhlaska.iso-003-p19s1	document_01_003-sentence5
vyhlaska.iso-003-p19s2	document_01_003-sentence6
vyhlaska.iso-003-p19s3	document_01_003-sentence7
vyhlaska.iso-003-p19s4	document_01_003-sentence8
vyhlaska.iso-003-p19s5	document_01_003-sentence9
vyhlaska.iso-003-p19s6	document_01_003-sentence10
vyhlaska.iso-003-p19s7	document_01_003-sentence11
vyhlaska.iso-003-p20s1	document_01_003-sentence12
vyhlaska.iso-003-p20s2	document_01_003-sentence13
vyhlaska.iso-003-p20s3	document_01_003-sentence14
vyhlaska.iso-003-p21s1	document_01_003-sentence15
vyhlaska.iso-003-p21s2	document_01_003-sentence16
vyhlaska.iso-003-p21s3	document_01_003-sentence17
vyhlaska.iso-003-p21s4	document_01_003-sentence18
vyhlaska.iso-003-p21s5	document_01_003-sentence19
vyhlaska.iso-003-p22s1	document_01_003-sentence20
vyhlaska.iso-003-p22s2	document_01_003-sentence21
vyhlaska.iso-003-p22s3	document_01_003-sentence22
vyhlaska.iso-003-p22s4	document_01_003-sentence23
vyhlaska.iso-003-p22s5	document_01_003-sentence24
vyhlaska.iso-003-p22s6	document_01_003-sentence25
vyhlaska.iso-003-p22s7	document_01_003-sentence26
vyhlaska.iso-003-p22s8	document_01_003-sentence27
vyhlaska.iso-003-p23s1	document_01_003-sentence28
vyhlaska.iso-003-p23s2	document_01_003-sentence29
vyhlaska.iso-003-p23s3	document_01_003-sentence30
vyhlaska.iso-003-p23s4	document_01_003-sentence31
vyhlaska.iso-003-p23s5	document_01_003-sentence32
vyhlaska.iso-003-p23s6	document_01_003-sentence33
vyhlaska.iso-003-p23s7	document_01_003-sentence34
vyhlaska.iso-003-p23s8	document_01_003-sentence35
vyhlaska.iso-003-p23s9	document_01_003-sentence36
vyhlaska.iso-003-p23s10	document_01_003-sentence37
vyhlaska.iso-003-p23s11	document_01_003-sentence38
vyhlaska.iso-003-p23s12	document_01_003-sentence39
vyhlaska.iso-003-p23s13	document_01_003-sentence40
vyhlaska.iso-003-p24s1	document_01_003-sentence41
vyhlaska.iso-003-p24s2	document_01_003-sentence42
vyhlaska.iso-003-p24s3	document_01_003-sentence43
vyhlaska.iso-003-p24s4	document_01_003-sentence44
vyhlaska.iso-003-p24s5	document_01_003-sentence45
vyhlaska.iso-003-p24s6	document_01_003-sentence46
vyhlaska.iso-003-p24s7	document_01_003-sentence47
vyhlaska.iso-003-p25s1	document_01_003-sentence48
vyhlaska.iso-003-p25s2	document_01_003-sentence49
vyhlaska.iso-003-p25s3	document_01_003-sentence50
vyhlaska.iso-003-p25s4	document_01_003-sentence51
vyhlaska.iso-003-p25s5	document_01_003-sentence52
vyhlaska.iso-003-p25s6	document_01_003-sentence53
vyhlaska.iso-003-p26s1	document_01_003-sentence54
vyhlaska.iso-003-p26s2	document_01_003-sentence55
vyhlaska.iso-003-p27s1	document_01_003-sentence56
vyhlaska.iso-003-p27s2	document_01_003-sentence57
vyhlaska.iso-003-p27s3	document_01_003-sentence58
vyhlaska.iso-003-p27s4	document_01_003-sentence59
vyhlaska.iso-003-p28s1	document_01_003-sentence60
vyhlaska.iso-003-p28s2	document_01_003-sentence61
vyhlaska.iso-003-p28s3	document_01_003-sentence62
vyhlaska.iso-003-p29s1	document_01_003-sentence63
vyhlaska.iso-003-p29s2	document_01_003-sentence64
vyhlaska.iso-003-p29s3	document_01_003-sentence65
vyhlaska.iso-003-p30s1	document_01_003-sentence66
vyhlaska.iso-003-p30s2	document_01_003-sentence67
vyhlaska.iso-003-p30s3	document_01_003-sentence68
vyhlaska.iso-003-p31s1	document_01_003-sentence69
vyhlaska.iso-003-p31s2	document_01_003-sentence70
vyhlaska.iso-003-p31s3	document_01_003-sentence71
vyhlaska.iso-003-p32s1	document_01_003-sentence72
vyhlaska.iso-003-p32s2	document_01_003-sentence73
vyhlaska.iso-003-p32s3	document_01_003-sentence74
vyhlaska.iso-003-p33s1	document_01_003-sentence75
vyhlaska.iso-003-p33s2	document_01_003-sentence76
vyhlaska.iso-003-p33s3	document_01_003-sentence77
vyhlaska.iso-003-p34s1	document_01_003-sentence78
vyhlaska.iso-003-p34s2	document_01_003-sentence79
vyhlaska.iso-003-p34s3	document_01_003-sentence80
vyhlaska.iso-003-p35s1	document_01_003-sentence81
vyhlaska.iso-003-p35s2	document_01_003-sentence82
vyhlaska.iso-003-p35s3	document_01_003-sentence83
vyhlaska.iso-003-p35s4	document_01_003-sentence84
vyhlaska.iso-003-p35s5	document_01_003-sentence85
vyhlaska.iso-003-p35s6	document_01_003-sentence86
vyhlaska.iso-003-p36s1	document_01_003-sentence87
vyhlaska.iso-003-p36s2	document_01_003-sentence88
vyhlaska.iso-003-p36s3	document_01_003-sentence89
vyhlaska.iso-003-p37s1	document_01_003-sentence90
vyhlaska.iso-003-p37s2	document_01_003-sentence91
vyhlaska.iso-003-p37s3	document_01_003-sentence92
vyhlaska.iso-003-p38s1	document_01_004-sentence1
vyhlaska.iso-003-p38s2	document_01_004-sentence2
vyhlaska.iso-003-p38s3	document_01_004-sentence3
vyhlaska.iso-003-p39s1	document_01_004-sentence4
vyhlaska.iso-003-p39s2	document_01_004-sentence5
vyhlaska.iso-003-p39s3	document_01_004-sentence6
vyhlaska.iso-003-p40s1	document_01_004-sentence7
vyhlaska.iso-004-p40s2	document_01_004-sentence8
vyhlaska.iso-004-p40s3	document_01_004-sentence9
vyhlaska.iso-004-p41s1	document_01_004-sentence10
vyhlaska.iso-004-p41s2	document_01_004-sentence11
vyhlaska.iso-004-p41s3	document_01_004-sentence12
vyhlaska.iso-004-p42s1	document_01_004-sentence13
vyhlaska.iso-004-p42s2	document_01_004-sentence14
vyhlaska.iso-004-p42s3	document_01_004-sentence15
vyhlaska.iso-004-p43s1	document_01_004-sentence16
vyhlaska.iso-004-p43s2	document_01_004-sentence17
vyhlaska.iso-004-p43s3	document_01_004-sentence18
vyhlaska.iso-004-p44s1	document_01_004-sentence19
vyhlaska.iso-004-p44s2	document_01_004-sentence20
vyhlaska.iso-004-p44s3	document_01_004-sentence21
vyhlaska.iso-004-p45s1	document_01_004-sentence22
vyhlaska.iso-004-p45s2	document_01_004-sentence23
vyhlaska.iso-004-p45s3	document_01_004-sentence24
vyhlaska.iso-004-p45s4	document_01_004-sentence25
vyhlaska.iso-004-p46s1	document_01_004-sentence26
vyhlaska.iso-004-p46s2	document_01_004-sentence27
vyhlaska.iso-004-p46s4-1	document_01_004-sentence28
vyhlaska.iso-004-p46s6-1	document_01_004-sentence29
vyhlaska.iso-004-p46s8-1	document_01_004-sentence30
vyhlaska.iso-004-p46s10-1	document_01_004-sentence31
vyhlaska.iso-004-p46s12-1	document_01_004-sentence32
vyhlaska.iso-004-p46s14-1	document_01_004-sentence33
vyhlaska.iso-004-p47s1	document_01_004-sentence34
vyhlaska.iso-004-p47s2	document_01_004-sentence35
vyhlaska.iso-004-p48s1	document_01_004-sentence36
vyhlaska.iso-004-p48s2	document_01_004-sentence37
vyhlaska.iso-004-p48s3	document_01_004-sentence38
vyhlaska.iso-004-p48s4	document_01_004-sentence39
vyhlaska.iso-004-p48s5	document_01_004-sentence40
vyhlaska.iso-004-p48s6	document_01_004-sentence41
vyhlaska.iso-004-p48s7	document_01_004-sentence42
vyhlaska.iso-004-p48s8	document_01_004-sentence43
vyhlaska.iso-004-p48s9	document_01_004-sentence44
vyhlaska.iso-004-p48s10	document_01_004-sentence45
vyhlaska.iso-004-p48s11	document_01_004-sentence46
vyhlaska.iso-004-p48s12	document_01_004-sentence47
vyhlaska.iso-004-p48s13	document_01_004-sentence48
vyhlaska.iso-004-p48s14	document_01_004-sentence49
vyhlaska.iso-004-p48s16	document_01_004-sentence50
vyhlaska.iso-004-p48s17	document_01_004-sentence51
vyhlaska.iso-004-p48s18	document_01_004-sentence52
vyhlaska.iso-004-p48s19	document_01_004-sentence53
vyhlaska.iso-004-p48s20	document_01_004-sentence54
vyhlaska.iso-004-p48s21	document_01_004-sentence55
vyhlaska.iso-004-p48s23	document_01_004-sentence56
vyhlaska.iso-004-p48s24	document_01_004-sentence57
vyhlaska.iso-004-p48s25	document_01_004-sentence58
vyhlaska.iso-004-p48s26	document_01_004-sentence59
vyhlaska.iso-004-p48s27	document_01_004-sentence60
vyhlaska.iso-004-p48s30-4	document_01_004-sentence61
vyhlaska.iso-004-p48s31	document_01_004-sentence62
vyhlaska.iso-004-p48s33	document_01_004-sentence63
vyhlaska.iso-004-p48s34	document_01_005-sentence1
vyhlaska.iso-004-p48s39	document_01_005-sentence2
vyhlaska.iso-004-p48s40	document_01_005-sentence3
vyhlaska.iso-004-p48s41	document_01_005-sentence4
vyhlaska.iso-004-p48s43	document_01_005-sentence5
vyhlaska.iso-004-p48s44	document_01_005-sentence6
vyhlaska.iso-004-p48s45	document_01_005-sentence7
vyhlaska.iso-004-p48s46	document_01_005-sentence8
vyhlaska.iso-004-p48s47	document_01_005-sentence9
vyhlaska.iso-005-p48s49	document_01_005-sentence10
vyhlaska.iso-005-p48s50	document_01_005-sentence11
vyhlaska.iso-005-p48s51	document_01_005-sentence12
vyhlaska.iso-005-p49s1	document_01_005-sentence13
vyhlaska.iso-005-p49s2	document_01_005-sentence14
vyhlaska.iso-005-p50s1	document_01_005-sentence15
vyhlaska.iso-005-p50s2	document_01_005-sentence16
vyhlaska.iso-005-p50s3	document_01_005-sentence17
vyhlaska.iso-005-p50s4	document_01_005-sentence18
vyhlaska.iso-005-p50s5	document_01_005-sentence19
vyhlaska.iso-005-p50s6	document_01_005-sentence20
vyhlaska.iso-005-p50s7	document_01_005-sentence21
vyhlaska.iso-005-p50s8	document_01_005-sentence22
vyhlaska.iso-005-p51s1	document_01_005-sentence23
vyhlaska.iso-005-p51s2	document_01_005-sentence24
vyhlaska.iso-005-p51s3	document_01_005-sentence25
vyhlaska.iso-005-p51s4	document_01_005-sentence26
vyhlaska.iso-005-p51s5	document_01_005-sentence27
vyhlaska.iso-005-p51s6	document_01_005-sentence28
vyhlaska.iso-005-p52s1	document_01_005-sentence29
vyhlaska.iso-005-p52s2	document_01_005-sentence30
vyhlaska.iso-005-p52s4	document_01_005-sentence31
vyhlaska.iso-005-p52s5	document_01_005-sentence32
vyhlaska.iso-005-p52s6	document_01_005-sentence33
vyhlaska.iso-005-p53s1	document_01_005-sentence34
vyhlaska.iso-005-p53s2	document_01_005-sentence35
vyhlaska.iso-005-p53s3	document_01_005-sentence36
vyhlaska.iso-005-p53s4	document_01_005-sentence37
vyhlaska.iso-005-p53s5	document_01_005-sentence38
vyhlaska.iso-005-p53s6	document_01_005-sentence39
vyhlaska.iso-005-p53s7	document_01_005-sentence40
vyhlaska.iso-005-p53s8	document_01_005-sentence41
vyhlaska.iso-005-p53s9	document_01_005-sentence42
vyhlaska.iso-005-p54s1	document_01_005-sentence43
vyhlaska.iso-005-p54s2	document_01_005-sentence44
vyhlaska.iso-005-p55s1	document_01_005-sentence45
vyhlaska.iso-005-p55s2	document_01_005-sentence46
vyhlaska.iso-005-p55s3	document_01_005-sentence47
vyhlaska.iso-005-p56s1	document_01_005-sentence48
vyhlaska.iso-005-p56s2	document_01_005-sentence49
vyhlaska.iso-005-p57s1	document_01_005-sentence50
vyhlaska.iso-005-p57s2	document_01_005-sentence51
vyhlaska.iso-005-p58s1	document_01_005-sentence52
vyhlaska.iso-005-p58s2	document_01_005-sentence53
vyhlaska.iso-005-p58s3	document_01_005-sentence54
vyhlaska.iso-005-p58s4	document_01_005-sentence55
vyhlaska.iso-005-p58s5	document_01_005-sentence56
vyhlaska.iso-005-p58s6	document_01_005-sentence57
vyhlaska.iso-005-p59s1	document_01_005-sentence58
vyhlaska.iso-005-p59s2	document_01_005-sentence59
vyhlaska.iso-005-p60s1	document_01_005-sentence60
vyhlaska.iso-005-p60s2	document_01_005-sentence61
vyhlaska.iso-005-p60s3	document_01_005-sentence62
vyhlaska.iso-005-p60s11	document_01_005-sentence63
vyhlaska.iso-005-p60s17	document_01_005-sentence64
vyhlaska.iso-005-p60s18	document_01_005-sentence65
vyhlaska.iso-005-p60s19	document_01_005-sentence66
vyhlaska.iso-005-p60s20	document_01_005-sentence67
vyhlaska.iso-005-p60s21	document_01_005-sentence68
vyhlaska.iso-005-p60s22	document_01_005-sentence69
vyhlaska.iso-005-p60s23	document_01_005-sentence70
vyhlaska.iso-005-p60s24	document_01_005-sentence71
vyhlaska.iso-005-p60s25	document_01_005-sentence72
vyhlaska.iso-005-p60s26	document_01_005-sentence73
vyhlaska.iso-005-p60s27	document_01_005-sentence74
vyhlaska.iso-006-p61s1	document_01_006-sentence1
vyhlaska.iso-006-p61s2	document_01_006-sentence2
vyhlaska.iso-006-p61s3	document_01_006-sentence3
vyhlaska.iso-006-p61s4	document_01_006-sentence4
vyhlaska.iso-006-p62s1	document_01_006-sentence5
vyhlaska.iso-006-p62s2	document_01_006-sentence6
vyhlaska.iso-006-p62s3	document_01_006-sentence7
vyhlaska.iso-006-p62s4	document_01_006-sentence8
vyhlaska.iso-006-p62s5	document_01_006-sentence9
vyhlaska.iso-006-p62s6	document_01_006-sentence10
vyhlaska.iso-006-p62s7	document_01_006-sentence11
vyhlaska.iso-006-p62s8	document_01_006-sentence12
vyhlaska.iso-006-p62s9	document_01_006-sentence13
